"filename", "language", "C#", "UnityShader", "JSON", "Markdown", "XML", "comment", "blank", "total"
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\TurnManager.cs", "C#", 121, 0, 0, 0, 0, 9, 24, 154
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\UGUIAnimation.cs", "C#", 121, 0, 0, 0, 0, 4, 12, 137
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\VisualCardsHandler.cs", "C#", 17, 0, 0, 0, 0, 2, 7, 26
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\_SciptableObjects\CurveParameters.cs", "C#", 9, 0, 0, 0, 0, 0, 2, 11
"d:\Tuanjie Projects\UGJ2025\Assets\Scripts\_Utility\ExtensionMethods.cs", "C#", 7, 0, 0, 0, 0, 0, 2, 9
"d:\Tuanjie Projects\UGJ2025\Assets\ShaderGraph\sdfOutline.shader", "UnityShader", 0, 76, 0, 0, 0, 2, 17, 95
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Blur.shader", "UnityShader", 0, 63, 0, 0, 0, 3, 10, 76
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\ColorSwap.shader", "UnityShader", 0, 54, 0, 0, 0, 0, 10, 64
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Fade.shader", "UnityShader", 0, 50, 0, 0, 0, 0, 12, 62
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\FadeController.cs", "C#", 35, 0, 0, 0, 0, 0, 5, 40
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Ghost.shader", "UnityShader", 0, 44, 0, 0, 0, 1, 10, 55
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Glitch.shader", "UnityShader", 0, 44, 0, 0, 0, 16, 11, 71
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Glow.shader", "UnityShader", 0, 63, 0, 0, 0, 0, 15, 78
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Gradient.shader", "UnityShader", 0, 51, 0, 0, 0, 1, 9, 61
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Hologram.shader", "UnityShader", 0, 57, 0, 0, 0, 1, 11, 69
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\HueShift.shader", "UnityShader", 0, 52, 0, 0, 0, 1, 10, 63
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\InnerOutline.shader", "UnityShader", 0, 49, 0, 0, 0, 3, 12, 64
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Outline.shader", "UnityShader", 0, 72, 0, 0, 0, 4, 21, 97
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Pixel.shader", "UnityShader", 0, 42, 0, 0, 0, 2, 8, 52
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Shadow.shader", "UnityShader", 0, 42, 0, 0, 0, 1, 8, 51
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Shine.shader", "UnityShader", 0, 53, 0, 0, 0, 0, 10, 63
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\TikTok.shader", "UnityShader", 0, 41, 0, 0, 0, 6, 9, 56
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Distortion.shader", "UnityShader", 0, 49, 0, 0, 0, 1, 9, 59
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Fill.shader", "UnityShader", 0, 46, 0, 0, 0, 4, 9, 59
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\FishEye.shader", "UnityShader", 0, 44, 0, 0, 0, 0, 9, 53
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\HandDrawn.shader", "UnityShader", 0, 43, 0, 0, 0, 0, 8, 51
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Pinch.shader", "UnityShader", 0, 41, 0, 0, 0, 6, 10, 57
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Scroll.shader", "UnityShader", 0, 40, 0, 0, 0, 1, 8, 49
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Shake.shader", "UnityShader", 0, 42, 0, 0, 0, 0, 8, 50
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Twist.shader", "UnityShader", 0, 48, 0, 0, 0, 2, 9, 59
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Wave.shader", "UnityShader", 0, 47, 0, 0, 0, 4, 9, 60
"d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Zoom.shader", "UnityShader", 0, 42, 0, 0, 0, 0, 8, 50
"d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "UnityShader", 0, 109, 0, 0, 0, 2, 33, 144
"d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "UnityShader", 0, 112, 0, 0, 0, 3, 31, 146
"d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "UnityShader", 0, 109, 0, 0, 0, 2, 33, 144
"d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "UnityShader", 0, 243, 0, 0, 0, 4, 71, 318
"d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "UnityShader", 0, 241, 0, 0, 0, 4, 66, 311
"d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "UnityShader", 0, 188, 0, 0, 0, 10, 50, 248
"d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "UnityShader", 0, 183, 0, 0, 0, 8, 50, 241
"d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "UnityShader", 0, 82, 0, 0, 0, 4, 21, 107
"d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "UnityShader", 0, 183, 0, 0, 0, 8, 50, 241
"d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "UnityShader", 0, 103, 0, 0, 0, 8, 28, 139
"d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "UnityShader", 0, 122, 0, 0, 0, 4, 33, 159
"d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "UnityShader", 0, 243, 0, 0, 0, 4, 71, 318
"d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "UnityShader", 0, 97, 0, 0, 0, 0, 20, 117
"d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMPro.cginc", "UnityShader", 0, 63, 0, 0, 0, 2, 20, 85
"d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "UnityShader", 0, 122, 0, 0, 0, 2, 34, 158
"d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "UnityShader", 0, 62, 0, 0, 0, 10, 14, 86
"d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "UnityShader", 0, 76, 0, 0, 0, 7, 19, 102
"d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 0, 0, 155, 0, 0, 0, 2, 157
"d:\Tuanjie Projects\UGJ2025\Assets\UI\UI_script\NextTurnButtom.cs", "C#", 65, 0, 0, 0, 0, 11, 17, 93
"d:\Tuanjie Projects\UGJ2025\Assets\UI\UI_script\card_preview.cs", "C#", 49, 0, 0, 0, 0, 5, 10, 64
"d:\Tuanjie Projects\UGJ2025\Assets\UI\UI_script\close_UI.cs", "C#", 17, 0, 0, 0, 0, 0, 4, 21
"d:\Tuanjie Projects\UGJ2025\Assets\UI\UI_script\open_bag.cs", "C#", 34, 0, 0, 0, 0, 4, 10, 48
"d:\Tuanjie Projects\UGJ2025\Assets\UI\UI_script\window.cs", "C#", 60, 0, 0, 0, 0, 2, 14, 76
"Total", "-", 10422, 3633, 180, 294, 5966, 2168, 2882, 25545
