Date : 2025-10-23 08:08:05
Directory : d:\Tuanjie Projects\UGJ2025\Assets
Total : 136 files,  20495 codes, 2168 comments, 2882 blanks, all 25545 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\DOTweenPro.Scripts.asmdef              | JSON        |          7 |          0 |          1 |          8 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\DOTweenPro.XML                         | XML         |         80 |          0 |          1 |         81 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\DOTweenProShortcuts.cs                 | C#          |         55 |         21 |         15 |         91 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\DOTweenTextMeshPro.cs                  | C#          |        674 |        279 |         85 |      1,038 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\DOTweenTk2d.cs                         | C#          |        160 |         70 |         18 |        248 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\Editor\DOTweenAnimationInspector.cs    | C#          |        684 |         25 |         56 |        765 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\Editor\DOTweenPreviewManager.cs        | C#          |        218 |         17 |         31 |        266 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\Editor\DOTweenPro.EditorScripts.asmdef | JSON        |         12 |          0 |          1 |         13 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTweenPro\Editor\DOTweenProEditor.XML            | XML         |         18 |          0 |          1 |         19 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\DOTween.XML                               | XML         |      3,089 |          0 |          1 |      3,090 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Editor\DOTweenEditor.XML                  | XML         |        144 |          0 |          1 |        145 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Modules\DOTween.Modules.asmdef            | JSON        |          3 |          0 |          1 |          4 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs             | C#          |         94 |         80 |         25 |        199 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleEPOOutline.cs        | C#          |        109 |         18 |         20 |        147 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics.cs           | C#          |        137 |         60 |         20 |        217 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics2D.cs         | C#          |        125 |         51 |         18 |        194 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleSprite.cs            | C#          |         63 |         17 |         14 |         94 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUI.cs                | C#          |        390 |        203 |         70 |        663 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUnityVersion.cs      | C#          |        254 |         99 |         37 |        390 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUtils.cs             | C#          |        123 |         27 |         18 |        168 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DemiLib\Core\DemiLib.xml                          | XML         |        230 |          0 |          2 |        232 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DemiLib\Core\Editor\DemiEditor.xml                | XML         |      2,405 |          0 |          1 |      2,406 |
| d:\Tuanjie Projects\UGJ2025\Assets\SDF Toolkit\Editor\SDFTextureGeneratorWindow.cs                     | C#          |        156 |         10 |         26 |        192 |
| d:\Tuanjie Projects\UGJ2025\Assets\SDF Toolkit\SDFTextureGenerator.cs                                  | C#          |        268 |        124 |         25 |        417 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-09-26_11-07-53\details.md               | Markdown    |         41 |          0 |          6 |         47 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-09-26_11-07-53\diff-details.md          | Markdown    |          9 |          0 |          6 |         15 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-09-26_11-07-53\diff.md                  | Markdown    |         12 |          0 |          7 |         19 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-09-26_11-07-53\results.json             | JSON        |          1 |          0 |          0 |          1 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-09-26_11-07-53\results.md               | Markdown    |         21 |          0 |          7 |         28 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-11_19-20-37\details.md               | Markdown    |         45 |          0 |          6 |         51 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-11_19-20-37\diff-details.md          | Markdown    |         25 |          0 |          6 |         31 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-11_19-20-37\diff.md                  | Markdown    |         17 |          0 |          7 |         24 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-11_19-20-37\results.json             | JSON        |          1 |          0 |          0 |          1 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-11_19-20-37\results.md               | Markdown    |         21 |          0 |          7 |         28 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-18_12-31-01\details.md               | Markdown    |         46 |          0 |          6 |         52 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-18_12-31-01\diff-details.md          | Markdown    |         19 |          0 |          6 |         25 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-18_12-31-01\diff.md                  | Markdown    |         17 |          0 |          7 |         24 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-18_12-31-01\results.json             | JSON        |          1 |          0 |          0 |          1 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-10-18_12-31-01\results.md               | Markdown    |         21 |          0 |          7 |         28 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Audio\AudioManager.cs                                       | C#          |        100 |          2 |         20 |        122 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Audio\Sound.cs                                              | C#          |          9 |          0 |          3 |         12 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\CameraMove.cs                                               | C#          |         65 |         14 |         12 |         91 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\CameraShake.cs                                              | C#          |         39 |          4 |         11 |         54 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Card.cs                                                     | C#          |        290 |         15 |         66 |        371 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\CardData\CardData.cs                                        | C#          |         47 |          5 |         10 |         62 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\CardForShow.cs                                              | C#          |         47 |          2 |         11 |         60 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\CardVisual.cs                                               | C#          |        295 |          3 |         63 |        361 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\CollectionManager.cs                                        | C#          |         34 |          2 |          5 |         41 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\CutoffMaskUI.cs                                             | C#          |         17 |          0 |          2 |         19 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\DeckManager.cs                                              | C#          |         65 |         17 |         14 |         96 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\DialogueTest\DialogueDataLoader.cs                          | C#          |        265 |         51 |         52 |        368 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\DialogueTest\DialogueManager.cs                             | C#          |        608 |        134 |        116 |        858 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\DialogueTest\DialogueType.cs                                | C#          |        331 |         48 |         47 |        426 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\DialogueTest\DialogueUI.cs                                  | C#          |        441 |        118 |        102 |        661 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\EndPanel.cs                                                 | C#          |         37 |          4 |          8 |         49 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\GridAddition.cs                                             | C#          |         82 |         12 |         25 |        119 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\GridState.cs                                                | C#          |          9 |          1 |          3 |         13 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\HorizontalCardHolder.cs                                     | C#          |        227 |         19 |         63 |        309 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\ItemInGrid.cs                                               | C#          |        135 |          7 |         28 |        170 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Map\LevelSelectRoot.cs                                      | C#          |         29 |          1 |          5 |         35 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Map\MapGrid.cs                                              | C#          |        127 |         17 |         23 |        167 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Map\PlayerInMap.cs                                          | C#          |         13 |          0 |          2 |         15 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\PanelManager.cs                                             | C#          |         67 |          2 |         12 |         81 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\PlayerSwitchManager.cs                                      | C#          |        122 |          9 |         31 |        162 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Room\EnemyUnit.cs                                           | C#          |        472 |         76 |        115 |        663 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Room\GameGrid.cs                                            | C#          |        228 |          9 |         45 |        282 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Room\GridNode.cs                                            | C#          |         16 |          0 |          3 |         19 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Room\HealthSystem.cs                                        | C#          |         46 |          9 |         12 |         67 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Room\IsoGrid2D.cs                                           | C#          |        470 |         44 |        122 |        636 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Room\UnitController.cs                                      | C#          |        309 |         13 |         76 |        398 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\ShaderCode.cs                                               | C#          |         45 |          8 |         14 |         67 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Store.cs                                                    | C#          |         24 |          2 |          8 |         34 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\TurnManager.cs                                              | C#          |        121 |          9 |         24 |        154 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\UGUIAnimation.cs                                            | C#          |        121 |          4 |         12 |        137 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\VisualCardsHandler.cs                                       | C#          |         17 |          2 |          7 |         26 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\_SciptableObjects\CurveParameters.cs                        | C#          |          9 |          0 |          2 |         11 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\_Utility\ExtensionMethods.cs                                | C#          |          7 |          0 |          2 |          9 |
| d:\Tuanjie Projects\UGJ2025\Assets\ShaderGraph\sdfOutline.shader                                       | UnityShader |         76 |          2 |         17 |         95 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Blur.shader                                    | UnityShader |         63 |          3 |         10 |         76 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\ColorSwap.shader                               | UnityShader |         54 |          0 |         10 |         64 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Fade.shader                                    | UnityShader |         50 |          0 |         12 |         62 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\FadeController.cs                              | C#          |         35 |          0 |          5 |         40 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Ghost.shader                                   | UnityShader |         44 |          1 |         10 |         55 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Glitch.shader                                  | UnityShader |         44 |         16 |         11 |         71 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Glow.shader                                    | UnityShader |         63 |          0 |         15 |         78 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Gradient.shader                                | UnityShader |         51 |          1 |          9 |         61 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Hologram.shader                                | UnityShader |         57 |          1 |         11 |         69 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\HueShift.shader                                | UnityShader |         52 |          1 |         10 |         63 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\InnerOutline.shader                            | UnityShader |         49 |          3 |         12 |         64 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Outline.shader                                 | UnityShader |         72 |          4 |         21 |         97 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Pixel.shader                                   | UnityShader |         42 |          2 |          8 |         52 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Shadow.shader                                  | UnityShader |         42 |          1 |          8 |         51 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\Shine.shader                                   | UnityShader |         53 |          0 |         10 |         63 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\Color\TikTok.shader                                  | UnityShader |         41 |          6 |          9 |         56 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Distortion.shader                                 | UnityShader |         49 |          1 |          9 |         59 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Fill.shader                                       | UnityShader |         46 |          4 |          9 |         59 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\FishEye.shader                                    | UnityShader |         44 |          0 |          9 |         53 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\HandDrawn.shader                                  | UnityShader |         43 |          0 |          8 |         51 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Pinch.shader                                      | UnityShader |         41 |          6 |         10 |         57 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Scroll.shader                                     | UnityShader |         40 |          1 |          8 |         49 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Shake.shader                                      | UnityShader |         42 |          0 |          8 |         50 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Twist.shader                                      | UnityShader |         48 |          2 |          9 |         59 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Wave.shader                                       | UnityShader |         47 |          4 |          9 |         60 |
| d:\Tuanjie Projects\UGJ2025\Assets\Shader\Scripts\UV\Zoom.shader                                       | UnityShader |         42 |          0 |          8 |         50 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader                 | UnityShader |        109 |          2 |         33 |        144 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader                       | UnityShader |        112 |          3 |         31 |        146 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader                              | UnityShader |        109 |          2 |         33 |        144 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader                         | UnityShader |        243 |          4 |         71 |        318 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader                             | UnityShader |        241 |          4 |         66 |        311 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader                  | UnityShader |        188 |         10 |         50 |        248 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader                  | UnityShader |        183 |          8 |         50 |        241 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader                      | UnityShader |         82 |          4 |         21 |        107 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader                          | UnityShader |        183 |          8 |         50 |        241 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader                  | UnityShader |        103 |          8 |         28 |        139 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader                         | UnityShader |        122 |          4 |         33 |        159 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_SDF.shader                                 | UnityShader |        243 |          4 |         71 |        318 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader                              | UnityShader |         97 |          0 |         20 |        117 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMPro.cginc                                    | UnityShader |         63 |          2 |         20 |         85 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc                             | UnityShader |        122 |          2 |         34 |        158 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc                         | UnityShader |         62 |         10 |         14 |         86 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc                            | UnityShader |         76 |          7 |         19 |        102 |
| d:\Tuanjie Projects\UGJ2025\Assets\TextMesh Pro\Sprites\EmojiOne.json                                  | JSON        |        155 |          0 |          2 |        157 |
| d:\Tuanjie Projects\UGJ2025\Assets\UI\UI_script\NextTurnButtom.cs                                      | C#          |         65 |         11 |         17 |         93 |
| d:\Tuanjie Projects\UGJ2025\Assets\UI\UI_script\card_preview.cs                                        | C#          |         49 |          5 |         10 |         64 |
| d:\Tuanjie Projects\UGJ2025\Assets\UI\UI_script\close_UI.cs                                            | C#          |         17 |          0 |          4 |         21 |
| d:\Tuanjie Projects\UGJ2025\Assets\UI\UI_script\open_bag.cs                                            | C#          |         34 |          4 |         10 |         48 |
| d:\Tuanjie Projects\UGJ2025\Assets\UI\UI_script\window.cs                                              | C#          |         60 |          2 |         14 |         76 |
| Total                                                                                                  |             |     20,495 |      2,168 |      2,882 |     25,545 |
+--------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
